Run,Tx,Well,Unique Peptides,Plate,Condition,BioReplicate
230719_THP-1_Chrom_end2end_Plate1_DMSO_A02_DIA,DMSO,A02,45341,Plate1,DMSO,2
230719_THP-1_Chrom_end2end_Plate1_DMSO_A05_DIA,DMSO,A05,44666,Plate1,DMSO,5
230719_THP-1_Chrom_end2end_Plate1_Jakafi_A08_DIA,Jakafi,A08,47029,Plate1,Jakafi,8
230719_THP-1_Chrom_end2end_Plate1_DMSO_A10_DIA,DMSO,A10,46326,Plate1,DMSO,10
230719_THP-1_Chrom_end2end_Plate1_DMSO_A12_DIA,DMSO,A12,47363,Plate1,DMSO,12
230719_THP-1_Chrom_end2end_Plate1_DMSO_B01_DIA,DMSO,B01,46873,Plate1,DMSO,13
230719_THP-1_Chrom_end2end_Plate1_DbET6_B08_DIA,DbET6,B08,46567,Plate1,DbET6,19
230719_THP-1_Chrom_end2end_Plate1_DbET6_B11_DIA,DbET6,B11,46458,Plate1,DbET6,22
230719_THP-1_Chrom_end2end_Plate1_Jakafi_C04_DIA,Jakafi,C04,32911,Plate1,Jakafi,27
230719_THP-1_Chrom_end2end_Plate1_Jakafi_D03_DIA,Jakafi,D03,37004,Plate1,Jakafi,38
230719_THP-1_Chrom_end2end_Plate1_Jakafi_D10_DIA,Jakafi,D10,39904,Plate1,Jakafi,45
230719_THP-1_Chrom_end2end_Plate1_Jakafi_E06_DIA,Jakafi,E06,36170,Plate1,Jakafi,53
230719_THP-1_Chrom_end2end_Plate1_DbET6_E08_DIA,DbET6,E08,40483,Plate1,DbET6,55
230719_THP-1_Chrom_end2end_Plate1_DbET6_F01_DIA,DbET6,F01,40923,Plate1,DbET6,60
230719_THP-1_Chrom_end2end_Plate1_DbET6_G10_DIA,DbET6,G10,42224,Plate1,DbET6,81
